,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
72,12/15/2018 6:08,0.272999999999999,12/15/2018 5:58,17P2,,4,12,15,5,58,4,12,15,6,8,,1,2,90.98,0,105.08,,10,5.44471199999997E-07,0,-8.90809919999997E-06,,-8.36362799999997E-06
73,12/15/2018 17:28,8.008,12/15/2018 10:08,17P2,,4,12,15,10,8,4,12,15,17,28,,1,8,90.26,565.95,136.96,,440,1.18905696E-05,-1.35626399999996E-05,-7.92713376E-05,,-8.09434079999997E-05
74,12/15/2018 8:50,5.644,12/15/2018 6:58,61P6,,4,12,15,6,58,4,12,15,8,50,,1,3,105.08,122.4,109.22,,112,-4.11084771428571E-06,-0.000311851157143,-0.00014032395,,-0.000456285954857
75,12/15/2018 22:57,17.928,12/15/2018 22:28,61P6,,4,12,15,22,28,4,12,15,22,57,,1,1,115.22,0,0,,29,-0.001385690976,0,0,,-0.001385690976
76,12/15/2018 9:16,8.827,12/15/2018 1:28,39P2,,4,12,15,1,28,4,12,15,9,16,,1,9,90.25,691.94,94.27,,468,7.60480000000001E-06,-0.00014540106,-5.64927999999998E-07,,-0.000138361188
77,12/15/2018 22:58,3.984,12/15/2018 22:43,61P1,,4,12,15,22,43,4,12,15,22,58,,1,1,115.22,0,0,,15,-0.000307931328,0,0,,-0.000307931328
78,12/15/2018 22:42,13.944,12/15/2018 22:23,28P4,,4,12,15,22,23,4,12,15,22,42,,1,1,115.22,0,0,,19,-0.001077759648,0,0,,-0.001077759648
79,12/15/2018 13:13,8.632,12/15/2018 6:53,58P4,,4,12,15,6,53,4,12,15,13,13,,1,8,105.08,597.16,92.03,,380,-6.48572134736842E-06,-0.000170063120842,1.82853018947368E-06,,-0.000174720312
80,12/15/2018 14:52,15.604,12/15/2018 12:18,22P7,,4,12,15,12,18,4,12,15,14,52,,1,3,91.17,92.03,93.36,,154,3.95263505454545E-05,3.76441433766232E-05,7.39751189610381E-06,,8.45680058181815E-05
81,12/15/2018 21:42,8.008,12/15/2018 19:23,19P8,,4,12,15,19,23,4,12,15,21,42,,1,3,153,141.37,130.78,,139,-0.000454675804317,-0.000592587391079,-0.000322563161784,,-0.00136982635718
82,12/15/2018 11:35,19.74,12/15/2018 7:53,30P2,,4,12,15,7,53,4,12,15,11,35,,1,5,122.4,293.75,89.84,,222,-6.41976810810811E-05,-0.000240081081081,4.38067945945945E-05,,-0.000260471967568
